temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
27.39625,73.653915,21.99,0.033333335,0.033333335,1005.6472,62.5,0.21064304,1.0491908,20.334042,31.57547,175.82184,38.535,0.14566666,0.164625
26.103584,85.16871,23.284834,0.029166667,0.029166667,998.88837,63.458332,0.15084301,0.5498861,5.0492043,8.414151,156.80042,13.62,0.44391668,0.44445834
26.3925,88.922966,24.28,0.9291666,0.9291666,1008.3543,89.25,0.13841164,0.4329849,5.717435,10.565455,140.4646,14.639999,0.30270833,0.30329168
27.675833,72.41973,21.905,0.108333334,0.108333334,1006.9513,55.333332,0.18758628,1.1357433,7.6932216,13.598391,230.45724,18.345,0.269125,0.28170833
27.931667,75.99934,22.844168,0.004166667,0.004166667,1010.25165,39.958332,0.1927422,1.0390819,7.8702946,14.803712,120.82308,17.13,0.28658333,0.309625
23.024916,82.25379,19.495749,0.09166667,0.09166667,941.03625,59.125,0.15007201,0.59007245,6.116131,9.02734,178.64868,16.02,0.18370834,0.159
25.949,92.25718,24.53025,0.7916666,0.7916666,1007.4783,99.125,0.1537784,0.28464258,5.4825625,8.636641,260.02133,15.45,0.5014167,0.4975
26.070168,87.62698,23.813917,0.39583334,0.39583334,1001.64215,84.416664,0.18665162,0.43327996,4.8927145,6.7336645,179.37482,17.835,0.41933334,0.423375
22.580168,88.94799,20.640583,0.27083334,0.27083334,938.174,99.125,0.093446046,0.31207675,3.676522,4.681202,191.71686,10.44,0.39970833,0.3985
27.035082,83.863,24.037167,0.16666667,0.16666667,1007.0311,79.541664,0.2087484,0.59051836,11.282786,13.619885,182.1425,18.525,0.0,0.0
27.013582,86.028336,24.299,0.07083333,0.07083333,1007.3849,77.458336,0.20123467,0.56216705,7.2854047,12.44319,153.8272,18.585,0.48320833,0.47520834
26.045416,87.75029,23.705833,0.033333335,0.033333335,1007.4775,89.916664,0.19472371,0.47228655,7.889232,12.665317,184.76302,16.23,0.26004165,0.26229167
20.747751,83.54289,17.8165,0.079166666,0.079166666,917.5755,99.291664,0.14028631,0.41437748,13.580516,24.805756,23.706112,50.969997,0.29320833,0.28358334
25.849667,85.550026,23.220499,0.96250004,0.96250004,1009.09375,97.833336,0.15296628,0.48718795,13.419663,16.99011,116.72829,22.74,0.0,0.0
20.714417,84.009514,17.833168,0.16666667,0.16666667,917.00995,96.083336,0.15328148,0.4093032,11.179009,21.071135,108.62036,43.26,0.291875,0.28754166
26.113583,89.8603,24.215666,0.2375,0.2375,1008.81433,87.625,0.16403905,0.38173112,7.0921206,12.383221,206.24155,18.914999,0.48404166,0.46954167
26.201416,86.60101,23.707666,0.19166668,0.19166668,1002.14984,78.458336,0.18263513,0.47839966,5.6860986,8.04015,151.41583,19.05,0.36504167,0.35341665
25.5895,85.517204,22.935333,0.0125,0.0125,1009.2187,100.0,0.10994969,0.48735404,10.541107,16.897606,38.82927,22.92,0.35958332,0.36104167
25.524834,85.204735,22.726917,0.058333334,0.058333334,1006.91724,100.0,0.14774372,0.5244446,6.30428,10.549536,66.62998,13.514999,0.37604168,0.378375
24.488,93.33741,23.260918,0.475,0.475,1009.3732,100.0,0.09707466,0.2322907,7.6096344,13.655012,298.07257,16.529999,0.42366666,0.42308334
23.901167,83.958954,20.911585,0.041666668,0.041666668,967.82306,99.833336,0.13434124,0.51137924,3.7456794,5.445164,262.9642,13.245,0.34754166,0.35754168
25.231583,87.210556,22.839916,0.27083334,0.27083334,998.82086,99.916664,0.15881433,0.45035592,11.265588,18.612202,308.3084,21.795,0.46054167,0.45941666
25.040667,93.22858,23.832333,0.69166666,0.69166666,1007.23975,99.833336,0.10896376,0.22731808,4.8851895,8.097497,204.22006,14.219999,0.490625,0.47958332
24.20775,92.84508,22.947334,0.725,0.725,998.57404,100.0,0.11470576,0.22651447,6.1700377,9.394092,201.04042,17.61,0.4925,0.46229166
26.138498,78.73798,22.040583,0.09166667,0.09166667,1009.7249,99.666664,0.17440486,0.7592792,14.33406,21.00319,98.541626,27.644999,0.34016666,0.34591666
22.969168,88.25082,20.781666,0.20833333,0.20833333,973.262,99.791664,0.15091059,0.3761334,4.935923,7.7645802,115.67632,14.61,0.34625,0.32491666
25.896917,88.955,23.79275,0.25416666,0.25416666,1008.21405,74.625,0.17549632,0.42114592,6.262187,10.669448,224.40257,17.039999,0.49441665,0.48866665
22.425167,80.47565,18.781416,0.0625,0.0625,935.6081,96.625,0.16641271,0.5645638,10.319058,18.80556,289.16153,26.085,0.41004166,0.41229168
26.855917,82.37523,23.499666,0.025,0.025,1009.3268,92.166664,0.19755788,0.65641516,6.5499387,9.024862,212.69984,16.005,0.35604167,0.35454166
25.51675,88.00169,23.295918,0.80833334,0.80833334,1007.35406,100.0,0.1272375,0.42769483,5.7394466,9.973237,261.30353,14.58,0.38045833,0.3435
24.568417,91.05211,22.9455,0.38750002,0.38750002,1005.54694,99.916664,0.12678151,0.30075082,8.18792,13.546481,290.20847,17.265,0.41241667,0.40820834
26.683416,77.03997,22.277166,0.0,0.0,1006.49756,100.0,0.17309101,0.81519926,8.840335,13.848398,140.30399,22.65,0.40141666,0.407125
25.831165,83.79572,22.80825,0.12083334,0.12083334,1005.13257,100.0,0.113525726,0.5629451,4.965675,7.770552,211.23091,12.0,0.34070835,0.3020833
20.009832,53.915714,9.343166,0.0,0.0,868.1136,70.833336,0.2140873,1.1791404,7.9216027,11.857565,141.18402,21.72,0.319,0.30883333
25.425917,89.42231,23.542583,0.7291667,0.7291667,1006.49634,96.708336,0.13387443,0.34824622,11.389171,17.241173,260.8637,26.384998,0.316375,0.30829167
26.013498,89.00403,23.934332,0.28333333,0.28333333,1009.7375,93.0,0.16654961,0.41816127,5.9948106,11.308733,259.27286,14.684999,0.35579166,0.34554166
25.6105,87.93003,23.412582,0.6458333,0.6458333,1009.6196,100.0,0.13980317,0.41519842,10.097561,13.749972,231.09265,23.835,0.42537498,0.425875
21.025166,90.929855,19.479334,0.625,0.625,936.3175,100.0,0.06335819,0.2270176,13.415924,24.233677,289.93756,34.71,0.41829166,0.41320834
23.034248,89.47739,21.14675,0.96666664,0.96666664,971.4712,77.208336,0.12614377,0.3219194,4.271174,5.8401265,143.26309,11.985,0.47837502,0.47175
23.62475,86.10374,21.033083,0.22083333,0.22083333,959.8803,86.416664,0.19128332,0.44678274,4.3708887,5.51654,228.99977,14.084999,0.3585,0.359
24.79975,81.94944,21.39975,0.1875,0.1875,965.0173,93.041664,0.19185728,0.6154609,5.4395585,7.349175,168.90123,14.01,0.34025002,0.35291666
20.663168,93.69001,19.563168,0.5708333,0.5708333,909.5189,99.958336,0.15177505,0.17076164,4.884811,6.8258824,262.99963,20.025,0.40516666,0.38279167
25.09625,90.83237,23.444166,1.4916667,1.4916667,1003.336,96.875,0.12126841,0.31269816,7.542488,11.588336,235.17415,20.28,0.491,0.488
19.8015,78.89252,15.649416,0.108333334,0.108333334,866.5862,96.125,0.1403639,0.55519736,5.906783,8.770984,198.1163,16.545,0.45491666,0.44433334
25.181417,91.96398,23.698084,0.4625,0.4625,999.637,99.708336,0.13599345,0.29134247,4.2969666,7.1904,269.64804,19.365,0.422125,0.42383334
27.506416,82.79797,24.133501,0.0,0.0,1007.5234,74.291664,0.2171207,0.69500834,5.8720613,7.917267,192.62337,13.53,0.117458336,0.15854166
