Provinsi,Kab/Kota,Tanggal,Latitude,Longitude,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,rain,surface_pressure,cloud_cover,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_gusts_10m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,Kebakaran
Jawa Timur,Kota Batu,2024-10-11,-7.86429,112.523565,23.033583,67.57833,16.3815,0.033333335,0.033333335,915.6462,92,0.21627311,0.9797076,7.645025,9.789396,167.22574,19.005,0.069416665,0.088083334,Yes
Jawa Timur,Pasuruan,2024-10-12,-6.30304,106.896762,27.58,81.55215,23.934168,1.0416666,1.0416666,1004.57855,98.708336,0.1682307,0.7560179,7.2648134,11.087218,196.79895,19.185,0.40820834,0.35025,Yes
Bali,Karangasem,2024-10-13,-8.4464252,115.6135572,26.546167,84.73084,23.63575,0.029166667,0.029166667,1000.31085,82.291664,0.22120167,0.578229,6.333371,8.889348,231.81126,16.47,0.1735,0.14654167,Yes
Bali,Karangasem,2024-10-13,-8.4464252,115.6135572,26.546167,84.73084,23.63575,0.029166667,0.029166667,1000.31085,82.291664,0.22120167,0.578229,6.333371,8.889348,231.81126,16.47,0.1735,0.14654167,Yes
Jawa Timur,Jombang,2024-10-14,-7.561464,112.2413044,28.948917,71.27539,22.4135,0.15416667,0.15416667,1003.9477,99.291664,0.23945202,1.3778672,8.140213,14.129309,230.39774,20.789999,0.26779166,0.18325,Yes
Jawa Timur,Magetan,2024-10-16,-7.6542489,111.3360565,27.62825,42.772392,13.257417,0,0,974.5146,78.75,0.37460193,2.1876168,24.900492,35.94883,196.90932,45.195,0.267625,0.27933335,Yes
Jawa Timur,Banyuwangi,2024-10-17,-8.203328,114.374513,26.537333,64.62874,19.1665,0,0,1010.8852,83.791664,0.24646841,1.2817911,13.009629,21.525976,225.5145,32.025,0.136375,0.131,Yes
Jawa Timur,Pasuruan,2024-10-18,-6.30304,106.896762,28.282084,64.108154,20.296667,0,0,1005.3687,34.666668,0.24093191,1.5426159,7.9567404,11.2331295,258.77963,18.914999,0.31695834,0.3142917,Yes
Jawa Tengah,Cilacap,2024-10-21,-7.73926,109.0141049,26.442251,80.57362,22.821417,0.004166667,0.004166667,1011.37866,55.125,0.2097812,0.67142195,11.795982,13.031403,196.10695,17.43,0,0,Yes
Sumatera Utara,Tapanuli Tengah,2024-10-22,1.433566,99.167769,23.194834,81.13013,19.526085,0,0,945.1287,83.041664,0.20196016,0.61266357,5.9817967,10.941541,194.9161,22.275,0.35533333,0.36641666,Yes
Nusa Tenggara Timur,Manggarai Barat,2024-10-23,-8.6192587,120.0897499,27.248167,72.37388,21.20025,0.025,0.025,991.12274,47.958332,0.22386979,1.1575803,8.448084,14.923457,174.88788,21.375,0.18195833,0.15245833,Yes
Kalimantan Barat,Sambas,2024-10-23,1.6084229,109.1811618,28.360167,79.571785,24.206,0,0,1008.87866,98.916664,0.21368295,0.86931705,9.62771,16.217962,213.19041,21.015,0.33483332,0.35204166,Yes
Aceh,Aceh Barat,2024-10-24,-3.9839496,103.3249505,22.848667,84.120895,19.829916,0.45833334,0.45833334,939.0566,96.125,0.16891988,0.5087934,4.6506023,5.2267785,193.99467,13.29,0.31325,0.25529167,Yes
Jawa Barat,Cirebon,2024-10-24,-5.52093,105.57282,29.94625,64.484535,22.1025,0,0,1007.59174,79.5,0.25839564,1.6129158,14.049892,22.597483,216.39664,30.81,0.13733333,0.17216666,Yes
Jawa Timur,Jombang,2024-10-24,-7.561464,112.2413044,27.653084,74.05223,22.386417,0.14166667,0.14166667,1005.0004,57.125,0.21367922,1.0487194,8.763923,15.5309305,213.71986,21.375,0.25945833,0.22054167,Yes
Sumatera Barat,Tanah Datar,2024-10-25,-0.4725469,102.418465,27.819,73.53876,22.204416,0,0,1001.4849,90.833336,0.20499657,1.1309528,4.2710423,6.698715,238.21545,9.96,0.33741668,0.33620834,Yes
